Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"Gabinete ASUS TUF Gaming GT301 con Ventana, Midi-Tower, ATX/Micro-ATX/Mini-ATX, USB 3.2, sin Fuente, 4 Ventiladores Instalados, Negro",90DC0040-B49000,"$2,359.00","$1,979.00",$159.00,252
"SSD Western Digital WD Blue SN570 NVMe, 250GB, PCI Express 3.0, M.2 ―  Incluye Membresía 1 Mes de Adobe Creative Cloud",WDS250G3B0C,$612.00,$446.00,$99.00,8
"Teclado Logitech MX Mechanical Mini TKL, Inalámbrico, Bluetooth, Grafito (Español)",920-010846,"$3,013.00","$2,679.00",$99.00,2
"Teclado Logitech Pop Keys, Teclado Mecánico, Inalámbrico, Menta/Violeta/Blanco/Amarillo (Español)",920-010714,"$1,823.00","$1,399.00",$99.00,2
"Teclado Logitech Touch K400 Plus, Inalámbrico, USB, Negro (Español)",920-007123,$837.00,$649.00,$99.00,161
"Astro Gaming Audífonos Gamer A10 para PS4/PS5/Xbox/PC/Mac, Alámbrico, 3.5mm, Negro/Azul",939-001594,"$1,021.00",$869.00,$99.00,74
"Xbox Live, 6 Meses ― Producto Digital Descargable",6T-00007,$839.00,$669.00,Envío gratis,existencia
"Mouse Logitech Óptico POP, Inalámbrico, Bluetooth, 4000DPI, Rosa Coral",910-006551,$647.00,$469.00,$99.00,¡1
"Disco Duro para Laptop Toshiba L200 2.5'', 1TB, SATA III, 6Gbit/s, 5400RPM, 128MB Cache",HDWL110UZSVA,$826.00,$679.00,$99.00,34
"Procesador Intel Core i3-12100F, S-1700, 3.30GHz, Quad-Core, 12MB Smart Cache (12va.  Generación - Golden Cove)",BX8071512100F,"$1,877.00","$1,689.00",$99.00,13
"Monitor Curvo Samsung LC24F390FHL LED 23.5'', Full HD, FreeSync, HDMI, Negro",LC24F390FHLXZX,"$2,910.00","$2,319.00",$154.00,125
"Tóner Brother TN-336 Negro, 4000 Páginas",TN336BK,"$2,071.00","$1,289.00",$99.00,18
"Mouse Gamer Ergonómico EVGA Óptico X20, Inalámbrico, Bluetooth/USB-A, 16000DPI, Negro",903-T1-20BK-K3,"$1,597.00","$1,069.00",$99.00,184
"Logitech Bocinas con Subwoofer Z313, 2.1, 25W RMS, Negro",980-000401,"$1,513.00","$1,149.00",$99.00,¡1
"SSD Crucial MX500, 500GB, SATA III, 2.5""",CT500MX500SSD1,$807.00,$679.00,$99.00,16
"Teclado Gamer Logitech G213 Prodigy LED RGB, Alámbrico, Negro, (Inglés)",920-008084,"$1,151.00",$909.00,$99.00,3
"Procesador AMD Ryzen 5 5600X, S-AM4, 3.70GHz, 32MB L3 Cache - incluye Disipador Wraith Stealth",100-100000065BOX,"$2,964.00","$2,589.00",$99.00,40
"Procesador Intel Core i3-10105F, S-1200, 3.70GHz, Quad-Core, 6MB Smart Cache (10ma Generación - Comet Lake)",BX8070110105F,"$1,330.00","$1,179.00",$99.00,15
"Game Factor Audífonos Gamer HSG500, Alámbrico, 1.5 Metros, 3.5mm, Negro",HSG500,$509.00,$384.00,$99.00,8
"Logitech Webcam C270, 3MP, 1280 x 720 Pixeles, USB 2.0, Negro",960-000947,$605.00,$456.00,$99.00,339
"Vorago Silla Gamer CGC500, hasta 120kg, Negro/Azul",CGC-500/BL,"$3,484.00","$2,949.00",$319.00,15
"TP-Link Cable Extensión de Baja Pérdida para Antenas, 12 Metros, Negro",TL-ANT24EC12N,$681.00,$225.00,$159.00,9
